['ENSG00000198763', 'ENSMUSG00000064345', 'ENSGALG00000043768', 'ENSRNOG00000031033', 'ENSOCUG00000029090', 'ENSMODG00000021566', 'ENSMMUG00000065356']
['ENSG00000265972', 'ENSMUSG00000038393', 'ENSGALG00000048409', 'ENSRNOG00000021201', 'ENSOCUG00000003010', 'ENSMODG00000018755', 'ENSMMUG00000007338']
['ENSG00000168509', 'ENSMUSG00000038403', 'ENSGALG00000052250', 'ENSRNOG00000021200', 'ENSOCUG00000006209', 'ENSMODG00000018756', 'ENSMMUG00000016054']
['ENSG00000131791', 'ENSMUSG00000038205', 'ENSGALG00000001678', 'ENSRNOG00000018166', 'ENSOCUG00000009325', 'ENSMODG00000018710', 'ENSMMUG00000012221']
['ENSG00000131778', 'ENSMUSG00000028089', 'ENSGALG00000015038', 'ENSRNOG00000017669', 'ENSOCUG00000009336', 'ENSMODG00000018717', 'ENSMMUG00000009024']
['ENSG00000116128', 'ENSMUSG00000038256', 'ENSGALG00000037655', 'ENSRNOG00000017516', 'ENSOCUG00000012143', 'ENSMODG00000018736', 'ENSMMUG00000016786']
['ENSG00000162836', 'ENSMUSG00000028093', 'ENSGALG00000015485', 'ENSRNOG00000017494', 'ENSOCUG00000000444', 'ENSMODG00000018738', 'ENSMMUG00000013561']
['ENSG00000265107', 'ENSMUSG00000057123', 'ENSGALG00000039452', 'ENSRNOG00000017484', 'ENSOCUG00000016576', 'ENSMODG00000018739', 'ENSMMUG00000001803']
['ENSG00000121634', 'ENSMUSG00000049908', 'ENSGALG00000015488', 'ENSRNOG00000046703', 'ENSOCUG00000002957', 'ENSMODG00000023218', 'ENSMMUG00000001382']
['ENSG00000159164', 'ENSMUSG00000038486', 'ENSGALG00000050830', 'ENSRNOG00000021182', 'ENSOCUG00000003894', 'ENSMODG00000018766', 'ENSMMUG00000007257']
['ENSG00000143368', 'ENSMUSG00000068856', 'ENSGALG00000013352', 'ENSRNOG00000021181', 'ENSOCUG00000004614', 'ENSMODG00000018767', 'ENSMMUG00000007256']
['ENSG00000014914', 'ENSMUSG00000045934', 'ENSGALG00000035923', 'ENSRNOG00000021176', 'ENSOCUG00000004616', 'ENSMODG00000018769', 'ENSMMUG00000007246']
['ENSG00000264522', 'ENSMUSG00000038495', 'ENSGALG00000013348', 'ENSRNOG00000042068', 'ENSOCUG00000013924', 'ENSMODG00000018770', 'ENSMMUG00000007244']
['ENSG00000136631', 'ENSMUSG00000015747', 'ENSGALG00000013899', 'ENSRNOG00000021173', 'ENSOCUG00000014360', 'ENSMODG00000018771', 'ENSMMUG00000013673']
['ENSG00000023902', 'ENSMUSG00000015745', 'ENSGALG00000037540', 'ENSRNOG00000021170', 'ENSOCUG00000006316', 'ENSMODG00000018772', 'ENSMMUG00000013681']
['ENSG00000118298', 'ENSMUSG00000038526', 'ENSGALG00000053884', 'ENSRNOG00000023162', 'ENSOCUG00000009032', 'ENSMODG00000018776', 'ENSMMUG00000021385']
['ENSG00000117362', 'ENSMUSG00000015750', 'ENSGALG00000045163', 'ENSRNOG00000023816', 'ENSOCUG00000009037', 'ENSMODG00000018778', 'ENSMMUG00000021386']
['ENSG00000117360', 'ENSMUSG00000015748', 'ENSGALG00000028205', 'ENSRNOG00000025629', 'ENSOCUG00000011760', 'ENSMODG00000018774', 'ENSMMUG00000016301']
['ENSG00000163125', 'ENSMUSG00000028106', 'ENSGALG00000014656', 'ENSRNOG00000054294', 'ENSOCUG00000011770', 'ENSMODG00000018786', 'ENSMMUG00000007303']
['ENSG00000143457', 'ENSMUSG00000046519', 'ENSGALG00000014640', 'ENSRNOG00000047620', 'ENSOCUG00000032306', 'ENSMODG00000051501', 'ENSMMUG00000010668']
['ENSG00000143452', 'ENSMUSG00000028109', 'ENSGALG00000043021', 'ENSRNOG00000021160', 'ENSOCUG00000003275', 'ENSMODG00000018807', 'ENSMMUG00000010669']
['ENSG00000163131', 'ENSMUSG00000038642', 'ENSGALG00000000775', 'ENSRNOG00000021157', 'ENSOCUG00000011085', 'ENSMODG00000018809', 'ENSMMUG00000010670']
['ENSG00000143437', 'ENSMUSG00000015522', 'ENSGALG00000000751', 'ENSRNOG00000031174', 'ENSOCUG00000013582', 'ENSMODG00000018814', 'ENSMMUG00000000541']
['ENSG00000143379', 'ENSMUSG00000015697', 'ENSGALG00000024051', 'ENSRNOG00000021143', 'ENSOCUG00000003642', 'ENSMODG00000018821', 'ENSMMUG00000023235']
['ENSG00000143418', 'ENSMUSG00000015714', 'ENSGALG00000039141', 'ENSRNOG00000021138', 'ENSOCUG00000022419', 'ENSMODG00000018825', 'ENSMMUG00000023234']
['ENSG00000143409', 'ENSMUSG00000038712', 'ENSGALG00000028499', 'ENSRNOG00000021131', 'ENSOCUG00000004694', 'ENSMODG00000018827', 'ENSMMUG00000010067']
['ENSG00000143363', 'ENSMUSG00000015711', 'ENSGALG00000042220', 'ENSRNOG00000021120', 'ENSOCUG00000004699', 'ENSMODG00000045279', 'ENSMMUG00000010068']
['ENSG00000197622', 'ENSMUSG00000046722', 'ENSGALG00000028119', 'ENSRNOG00000060538', 'ENSOCUG00000024314', 'ENSMODG00000018833', 'ENSMMUG00000010074']
['ENSG00000143458', 'ENSMUSG00000038766', 'ENSGALG00000026734', 'ENSRNOG00000021105', 'ENSOCUG00000004712', 'ENSMODG00000018836', 'ENSMMUG00000008402']
['ENSG00000143434', 'ENSMUSG00000038777', 'ENSGALG00000045312', 'ENSRNOG00000021101', 'ENSOCUG00000002736', 'ENSMODG00000018839', 'ENSMMUG00000007643']
['ENSG00000163156', 'ENSMUSG00000092607', 'ENSGALG00000046607', 'ENSRNOG00000021092', 'ENSOCUG00000026766', 'ENSMODG00000042115', 'ENSMMUG00000007900']
['ENSG00000163157', 'ENSMUSG00000005628', 'ENSGALG00000030247', 'ENSRNOG00000021088', 'ENSOCUG00000020919', 'ENSMODG00000018845', 'ENSMMUG00000007903']
['ENSG00000163159', 'ENSMUSG00000008958', 'ENSGALG00000000793', 'ENSRNOG00000021081', 'ENSOCUG00000021424', 'ENSMODG00000018848', 'ENSMMUG00000007905']
['ENSG00000143398', 'ENSMUSG00000028126', 'ENSGALG00000027372', 'ENSRNOG00000021068', 'ENSOCUG00000015242', 'ENSMODG00000018854', 'ENSMMUG00000005228']
['ENSG00000159352', 'ENSMUSG00000005625', 'ENSGALG00000028505', 'ENSRNOG00000021042', 'ENSOCUG00000005143', 'ENSMODG00000028154', 'ENSMMUG00000049004']
['ENSG00000143373', 'ENSMUSG00000019338', 'ENSGALG00000040270', 'ENSRNOG00000021026', 'ENSOCUG00000027462', 'ENSMODG00000018857', 'ENSMMUG00000013166']
['ENSG00000143393', 'ENSMUSG00000038861', 'ENSGALG00000024034', 'ENSRNOG00000021024', 'ENSOCUG00000002593', 'ENSMODG00000018862', 'ENSMMUG00000013170']
['ENSG00000143390', 'ENSMUSG00000005774', 'ENSGALG00000000836', 'ENSRNOG00000021012', 'ENSOCUG00000011564', 'ENSMODG00000018866', 'ENSMMUG00000051126']
['ENSG00000159377', 'ENSMUSG00000005779', 'ENSGALG00000000905', 'ENSRNOG00000020979', 'ENSOCUG00000015257', 'ENSMODG00000018871', 'ENSMMUG00000020924']
['ENSG00000143442', 'ENSMUSG00000038902', 'ENSGALG00000036365', 'ENSRNOG00000053599', 'ENSOCUG00000004849', 'ENSMODG00000018875', 'ENSMMUG00000020925']
['ENSG00000143367', 'ENSMUSG00000005968', 'ENSGALG00000032955', 'ENSRNOG00000020923', 'ENSOCUG00000012659', 'ENSMODG00000047337', 'ENSMMUG00000021260']
['ENSG00000143376', 'ENSMUSG00000028136', 'ENSGALG00000040687', 'ENSRNOG00000020893', 'ENSOCUG00000007428', 'ENSMODG00000018893', 'ENSMMUG00000016920']
['ENSG00000159409', 'ENSMUSG00000028137', 'ENSGALG00000028478', 'ENSRNOG00000020875', 'ENSOCUG00000003551', 'ENSMODG00000027673', 'ENSMMUG00000016952']
['ENSG00000143365', 'ENSMUSG00000028150', 'ENSGALG00000033941', 'ENSRNOG00000020836', 'ENSOCUG00000022907', 'ENSMODG00000018911', 'ENSMMUG00000012138']
['ENSG00000197747', 'ENSMUSG00000041959', 'ENSGALG00000028774', 'ENSRNOG00000023226', 'ENSOCUG00000005198', 'ENSMODG00000046156', 'ENSMMUG00000052533']
['ENSG00000197956', 'ENSMUSG00000001025', 'ENSGALG00000041826', 'ENSRNOG00000011647', 'ENSOCUG00000024096', 'ENSMODG00000017400', 'ENSMMUG00000008917']
['ENSG00000196154', 'ENSMUSG00000001020', 'ENSGALG00000026613', 'ENSRNOG00000011821', 'ENSOCUG00000008645', 'ENSMODG00000017397', 'ENSMMUG00000010979']
['ENSG00000189171', 'ENSMUSG00000042312', 'ENSGALG00000046614', 'ENSRNOG00000012393', 'ENSOCUG00000002748', 'ENSMODG00000017387', 'ENSMMUG00000057586']
['ENSG00000143553', 'ENSMUSG00000001018', 'ENSGALG00000026796', 'ENSRNOG00000013356', 'ENSOCUG00000005425', 'ENSMODG00000049225', 'ENSMMUG00000053224']
['ENSG00000143621', 'ENSMUSG00000001016', 'ENSGALG00000011570', 'ENSRNOG00000014154', 'ENSOCUG00000005430', 'ENSMODG00000017376', 'ENSMMUG00000008149']
['ENSG00000143624', 'ENSMUSG00000027933', 'ENSGALG00000027046', 'ENSRNOG00000015153', 'ENSOCUG00000005436', 'ENSMODG00000017354', 'ENSMMUG00000019482']
['ENSG00000143554', 'ENSMUSG00000027932', 'ENSGALG00000048178', 'ENSRNOG00000015421', 'ENSOCUG00000005457', 'ENSMODG00000017345', 'ENSMMUG00000019487']
['ENSG00000143614', 'ENSMUSG00000042390', 'ENSGALG00000051276', 'ENSRNOG00000015553', 'ENSOCUG00000008135', 'ENSMODG00000017336', 'ENSMMUG00000002696']
['ENSG00000143569', 'ENSMUSG00000042520', 'ENSGALG00000024094', 'ENSRNOG00000017990', 'ENSOCUG00000023943', 'ENSMODG00000017227', 'ENSMMUG00000010810']
['ENSG00000160712', 'ENSMUSG00000027947', 'ENSGALG00000030407', 'ENSRNOG00000020811', 'ENSOCUG00000016354', 'ENSMODG00000017198', 'ENSMMUG00000022978']
['ENSG00000169291', 'ENSMUSG00000046280', 'ENSGALG00000036125', 'ENSRNOG00000020797', 'ENSOCUG00000016365', 'ENSMODG00000017195', 'ENSMMUG00000022980']
['ENSG00000160714', 'ENSMUSG00000042572', 'ENSGALG00000029450', 'ENSRNOG00000020791', 'ENSOCUG00000003709', 'ENSMODG00000017185', 'ENSMMUG00000019547']
['ENSG00000160710', 'ENSMUSG00000027951', 'ENSGALG00000021475', 'ENSRNOG00000020744', 'ENSOCUG00000008544', 'ENSMODG00000017160', 'ENSMMUG00000016093']
['ENSG00000143603', 'ENSMUSG00000000794', 'ENSGALG00000030554', 'ENSRNOG00000020706', 'ENSOCUG00000013552', 'ENSMODG00000017155', 'ENSMMUG00000017793']
['ENSG00000163344', 'ENSMUSG00000027952', 'ENSGALG00000046656', 'ENSRNOG00000020696', 'ENSOCUG00000016158', 'ENSMODG00000017150', 'ENSMMUG00000052450']
['ENSG00000163348', 'ENSMUSG00000047824', 'ENSGALG00000051065', 'ENSRNOG00000020663', 'ENSOCUG00000016170', 'ENSMODG00000017142', 'ENSMMUG00000006579']
['ENSG00000160691', 'ENSMUSG00000042626', 'ENSGALG00000039775', 'ENSRNOG00000020657', 'ENSOCUG00000016188', 'ENSMODG00000017139', 'ENSMMUG00000006581']
['ENSG00000160688', 'ENSMUSG00000042642', 'ENSGALG00000027700', 'ENSRNOG00000020642', 'ENSOCUG00000025691', 'ENSMODG00000017131', 'ENSMMUG00000006584']
['ENSG00000143537', 'ENSMUSG00000028041', 'ENSGALG00000054512', 'ENSRNOG00000020590', 'ENSOCUG00000007070', 'ENSMODG00000017121', 'ENSMMUG00000023340']
['ENSG00000163462', 'ENSMUSG00000042766', 'ENSGALG00000052421', 'ENSRNOG00000055433', 'ENSOCUG00000000349', 'ENSMODG00000017100', 'ENSMMUG00000012182']
['ENSG00000160767', 'ENSMUSG00000032657', 'ENSGALG00000051812', 'ENSRNOG00000020518', 'ENSOCUG00000010041', 'ENSMODG00000017077', 'ENSMMUG00000018309']
['ENSG00000160753', 'ENSMUSG00000041263', 'ENSGALG00000046464', 'ENSRNOG00000043377', 'ENSOCUG00000038913', 'ENSMODG00000017044', 'ENSMMUG00000023145']
['ENSG00000116539', 'ENSMUSG00000028053', 'ENSGALG00000014638', 'ENSRNOG00000020386', 'ENSOCUG00000014986', 'ENSMODG00000017033', 'ENSMMUG00000023146']
['ENSG00000132676', 'ENSMUSG00000068921', 'ENSGALG00000019796', 'ENSRNOG00000020373', 'ENSOCUG00000004785', 'ENSMODG00000017024', 'ENSMMUG00000018080']
['ENSG00000132718', 'ENSMUSG00000068923', 'ENSGALG00000014646', 'ENSRNOG00000020279', 'ENSOCUG00000027971', 'ENSMODG00000016994', 'ENSMMUG00000021312']
['ENSG00000143622', 'ENSMUSG00000028057', 'ENSGALG00000014647', 'ENSRNOG00000020232', 'ENSOCUG00000006377', 'ENSMODG00000016989', 'ENSMMUG00000053454']
['ENSG00000132680', 'ENSMUSG00000028060', 'ENSGALG00000014652', 'ENSRNOG00000020139', 'ENSOCUG00000010430', 'ENSMODG00000016981', 'ENSMMUG00000004648']
['ENSG00000163479', 'ENSMUSG00000041355', 'ENSGALG00000000764', 'ENSRNOG00000019940', 'ENSOCUG00000008455', 'ENSMODG00000016964', 'ENSMMUG00000013495']
['ENSG00000160803', 'ENSMUSG00000008604', 'ENSGALG00000042214', 'ENSRNOG00000019933', 'ENSOCUG00000007156', 'ENSMODG00000016961', 'ENSMMUG00000009983']
['ENSG00000116586', 'ENSMUSG00000028062', 'ENSGALG00000053058', 'ENSRNOG00000019908', 'ENSOCUG00000027994', 'ENSMODG00000016959', 'ENSMMUG00000012126']
['ENSG00000132698', 'ENSMUSG00000008601', 'ENSGALG00000029812', 'ENSRNOG00000023640', 'ENSOCUG00000005634', 'ENSMODG00000048622', 'ENSMMUG00000022306']
['ENSG00000254726', 'ENSMUSG00000074480', 'ENSGALG00000014016', 'ENSRNOG00000058654', 'ENSOCUG00000005640', 'ENSMODG00000016954', 'ENSMMUG00000052160']
['ENSG00000160789', 'ENSMUSG00000028063', 'ENSGALG00000046712', 'ENSRNOG00000019638', 'ENSOCUG00000010011', 'ENSMODG00000016946', 'ENSMMUG00000016096']
['ENSG00000160785', 'ENSMUSG00000050144', 'ENSGALG00000052506', 'ENSRNOG00000025269', 'ENSOCUG00000012861', 'ENSMODG00000016921', 'ENSMMUG00000004902']
['ENSG00000163472', 'ENSMUSG00000001420', 'ENSGALG00000039643', 'ENSRNOG00000019414', 'ENSOCUG00000012899', 'ENSMODG00000016892', 'ENSMMUG00000047929']
['ENSG00000198715', 'ENSMUSG00000001418', 'ENSGALG00000049774', 'ENSRNOG00000019281', 'ENSOCUG00000026609', 'ENSMODG00000016888', 'ENSMMUG00000000092']
['ENSG00000116604', 'ENSMUSG00000001419', 'ENSGALG00000037787', 'ENSRNOG00000031778', 'ENSOCUG00000012173', 'ENSMODG00000016861', 'ENSMMUG00000016696']
['ENSG00000183856', 'ENSMUSG00000028068', 'ENSGALG00000049193', 'ENSRNOG00000027894', 'ENSOCUG00000012177', 'ENSMODG00000016849', 'ENSMMUG00000002621']
['ENSG00000187862', 'ENSMUSG00000051036', 'ENSGALG00000051918', 'ENSRNOG00000028765', 'ENSOCUG00000023015', 'ENSMODG00000045953', 'ENSMMUG00000002622']
['ENSG00000163382', 'ENSMUSG00000028070', 'ENSGALG00000046023', 'ENSRNOG00000019201', 'ENSOCUG00000016208', 'ENSMODG00000016821', 'ENSMMUG00000002623']
['ENSG00000132692', 'ENSMUSG00000004892', 'ENSGALG00000045469', 'ENSRNOG00000018798', 'ENSOCUG00000026133', 'ENSMODG00000016815', 'ENSMMUG00000017093']
['ENSG00000143319', 'ENSMUSG00000048039', 'ENSGALG00000045721', 'ENSRNOG00000011402', 'ENSOCUG00000001459', 'ENSMODG00000016797', 'ENSMMUG00000000037']
['ENSG00000143303', 'ENSMUSG00000004896', 'ENSGALG00000000576', 'ENSRNOG00000011645', 'ENSOCUG00000001460', 'ENSMODG00000016796', 'ENSMMUG00000000038']
['ENSG00000143314', 'ENSMUSG00000019710', 'ENSGALG00000030994', 'ENSRNOG00000022234', 'ENSOCUG00000001466', 'ENSMODG00000016790', 'ENSMMUG00000000039']
['ENSG00000143321', 'ENSMUSG00000004897', 'ENSGALG00000032847', 'ENSRNOG00000042261', 'ENSOCUG00000010664', 'ENSMODG00000051437', 'ENSMMUG00000040660']
['ENSG00000143294', 'ENSMUSG00000004895', 'ENSGALG00000040696', 'ENSRNOG00000012933', 'ENSOCUG00000024389', 'ENSMODG00000016779', 'ENSMMUG00000010918']
['ENSG00000027869', 'ENSMUSG00000028071', 'ENSGALG00000044505', 'ENSRNOG00000013294', 'ENSOCUG00000010671', 'ENSMODG00000016772', 'ENSMMUG00000010917']
['ENSG00000198400', 'ENSMUSG00000028072', 'ENSGALG00000019019', 'ENSRNOG00000013953', 'ENSOCUG00000010696', 'ENSMODG00000016703', 'ENSMMUG00000012424']
['ENSG00000027644', 'ENSMUSG00000005640', 'ENSGALG00000013253', 'ENSRNOG00000057702', 'ENSOCUG00000010677', 'ENSMODG00000016712', 'ENSMMUG00000055304']
['ENSG00000160838', 'ENSMUSG00000023084', 'ENSGALG00000027351', 'ENSRNOG00000014937', 'ENSOCUG00000010721', 'ENSMODG00000016683', 'ENSMMUG00000064007']
['ENSG00000132694', 'ENSMUSG00000041977', 'ENSGALG00000039163', 'ENSRNOG00000015026', 'ENSOCUG00000010731', 'ENSMODG00000016676', 'ENSMMUG00000012436']
['ENSG00000117036', 'ENSMUSG00000003382', 'ENSGALG00000000669', 'ENSRNOG00000043095', 'ENSOCUG00000009760', 'ENSMODG00000016664', 'ENSMMUG00000042886']
['ENSG00000183853', 'ENSMUSG00000041734', 'ENSGALG00000029528', 'ENSRNOG00000016408', 'ENSOCUG00000012232', 'ENSMODG00000010631', 'ENSMMUG00000003191']
['ENSG00000162706', 'ENSMUSG00000005338', 'ENSGALG00000036925', 'ENSRNOG00000003365', 'ENSOCUG00000016385', 'ENSMODG00000010160', 'ENSMMUG00000001297']
['ENSG00000158716', 'ENSMUSG00000026544', 'ENSGALG00000050459', 'ENSRNOG00000022143', 'ENSOCUG00000015831', 'ENSMODG00000010053', 'ENSMMUG00000018444']
['ENSG00000213085', 'ENSMUSG00000026546', 'ENSGALG00000043885', 'ENSRNOG00000008492', 'ENSOCUG00000002349', 'ENSMODG00000010039', 'ENSMMUG00000011342']
['ENSG00000158710', 'ENSMUSG00000026547', 'ENSGALG00000036086', 'ENSRNOG00000008301', 'ENSOCUG00000022296', 'ENSMODG00000048991', 'ENSMMUG00000040609']
['ENSG00000085552', 'ENSMUSG00000037995', 'ENSGALG00000031193', 'ENSRNOG00000008054', 'ENSOCUG00000002356', 'ENSMODG00000010024', 'ENSMMUG00000004706']
['ENSG00000143318', 'ENSMUSG00000007122', 'ENSGALG00000054604', 'ENSRNOG00000006930', 'ENSOCUG00000009959', 'ENSMODG00000009644', 'ENSMMUG00000056833']
['ENSG00000162734', 'ENSMUSG00000013698', 'ENSGALG00000051412', 'ENSRNOG00000046996', 'ENSOCUG00000017688', 'ENSMODG00000009629', 'ENSMMUG00000017838']
['ENSG00000122218', 'ENSMUSG00000026553', 'ENSGALG00000009153', 'ENSRNOG00000006247', 'ENSOCUG00000014479', 'ENSMODG00000009549', 'ENSMMUG00000021854']
['ENSG00000162736', 'ENSMUSG00000003458', 'ENSGALG00000009147', 'ENSRNOG00000005355', 'ENSOCUG00000014503', 'ENSMODG00000009496', 'ENSMMUG00000021856']
['ENSG00000162738', 'ENSMUSG00000026556', 'ENSGALG00000030643', 'ENSRNOG00000004889', 'ENSOCUG00000016671', 'ENSMODG00000009466', 'ENSMMUG00000020295']
['ENSG00000158769', 'ENSMUSG00000038235', 'ENSGALG00000045584', 'ENSRNOG00000004414', 'ENSOCUG00000006994', 'ENSMODG00000044346', 'ENSMMUG00000001996']
['ENSG00000158773', 'ENSMUSG00000026641', 'ENSGALG00000037595', 'ENSRNOG00000004255', 'ENSOCUG00000002352', 'ENSMODG00000005443', 'ENSMMUG00000002003']
['ENSG00000186517', 'ENSMUSG00000048865', 'ENSGALG00000054971', 'ENSRNOG00000004192', 'ENSOCUG00000002358', 'ENSMODG00000005411', 'ENSMMUG00000002005']
['ENSG00000143217', 'ENSMUSG00000006411', 'ENSGALG00000046995', 'ENSRNOG00000004029', 'ENSOCUG00000002367', 'ENSMODG00000005386', 'ENSMMUG00000064337']
['ENSG00000143256', 'ENSMUSG00000006412', 'ENSGALG00000026374', 'ENSRNOG00000003983', 'ENSOCUG00000002378', 'ENSMODG00000045739', 'ENSMMUG00000060871']
['ENSG00000158793', 'ENSMUSG00000013997', 'ENSGALG00000007585', 'ENSRNOG00000003881', 'ENSOCUG00000002380', 'ENSMODG00000005346', 'ENSMMUG00000002009']
['ENSG00000158796', 'ENSMUSG00000013973', 'ENSGALG00000043129', 'ENSRNOG00000003779', 'ENSOCUG00000002387', 'ENSMODG00000043912', 'ENSMMUG00000002010']
['ENSG00000143222', 'ENSMUSG00000062963', 'ENSGALG00000049966', 'ENSRNOG00000003706', 'ENSOCUG00000002389', 'ENSMODG00000005282', 'ENSMMUG00000022632']
['ENSG00000143258', 'ENSMUSG00000053483', 'ENSGALG00000051012', 'ENSRNOG00000038347', 'ENSOCUG00000002395', 'ENSMODG00000005267', 'ENSMMUG00000022631']
['ENSG00000143224', 'ENSMUSG00000062729', 'ENSGALG00000054130', 'ENSRNOG00000003567', 'ENSOCUG00000002403', 'ENSMODG00000005247', 'ENSMMUG00000022630']
['ENSG00000158850', 'ENSMUSG00000052423', 'ENSGALG00000030605', 'ENSRNOG00000003551', 'ENSOCUG00000029610', 'ENSMODG00000005229', 'ENSMMUG00000022629']
['ENSG00000158859', 'ENSMUSG00000006403', 'ENSGALG00000030502', 'ENSRNOG00000003538', 'ENSOCUG00000013498', 'ENSMODG00000005192', 'ENSMMUG00000050419']
['ENSG00000158887', 'ENSMUSG00000056569', 'ENSGALG00000030372', 'ENSRNOG00000003171', 'ENSOCUG00000014421', 'ENSMODG00000005043', 'ENSMMUG00000001216']
['ENSG00000188931', 'ENSMUSG00000026649', 'ENSGALG00000038231', 'ENSRNOG00000034221', 'ENSOCUG00000014435', 'ENSMODG00000038977', 'ENSMMUG00000008251']
['ENSG00000118217', 'ENSMUSG00000026663', 'ENSGALG00000032278', 'ENSRNOG00000024632', 'ENSOCUG00000007930', 'ENSMODG00000000980', 'ENSMMUG00000004049']
['ENSG00000162745', 'ENSMUSG00000038463', 'ENSGALG00000002667', 'ENSRNOG00000003018', 'ENSOCUG00000003594', 'ENSMODG00000000995', 'ENSMMUG00000023042']
['ENSG00000198929', 'ENSMUSG00000038473', 'ENSGALG00000036871', 'ENSRNOG00000042929', 'ENSOCUG00000027759', 'ENSMODG00000001013', 'ENSMMUG00000042262']
['ENSG00000117143', 'ENSMUSG00000026670', 'ENSGALG00000002725', 'ENSRNOG00000002926', 'ENSOCUG00000015579', 'ENSMODG00000001084', 'ENSMMUG00000019514']
['ENSG00000162733', 'ENSMUSG00000026674', 'ENSGALG00000039322', 'ENSRNOG00000002881', 'ENSOCUG00000011443', 'ENSMODG00000001151', 'ENSMMUG00000009330']
['ENSG00000117152', 'ENSMUSG00000038530', 'ENSGALG00000002564', 'ENSRNOG00000002773', 'ENSOCUG00000005204', 'ENSMODG00000001191', 'ENSMMUG00000005185']
['ENSG00000143248', 'ENSMUSG00000026678', 'ENSGALG00000026572', 'ENSRNOG00000002730', 'ENSOCUG00000001169', 'ENSMODG00000001208', 'ENSMMUG00000005186']
['ENSG00000143228', 'ENSMUSG00000026683', 'ENSGALG00000003438', 'ENSRNOG00000002711', 'ENSOCUG00000001171', 'ENSMODG00000016696', 'ENSMMUG00000001152']
['ENSG00000185630', 'ENSMUSG00000052534', 'ENSGALG00000003429', 'ENSRNOG00000004693', 'ENSOCUG00000007609', 'ENSMODG00000001238', 'ENSMMUG00000019108']
['ENSG00000162761', 'ENSMUSG00000026686', 'ENSGALG00000003424', 'ENSRNOG00000004642', 'ENSOCUG00000005509', 'ENSMODG00000001270', 'ENSMMUG00000006300']
['ENSG00000143171', 'ENSMUSG00000015843', 'ENSGALG00000040730', 'ENSRNOG00000004537', 'ENSOCUG00000005512', 'ENSMODG00000001291', 'ENSMMUG00000002892']
['ENSG00000162763', 'ENSMUSG00000040485', 'ENSGALG00000003443', 'ENSRNOG00000004356', 'ENSOCUG00000005518', 'ENSMODG00000001296', 'ENSMMUG00000015518']
['ENSG00000143198', 'ENSMUSG00000026688', 'ENSGALG00000003445', 'ENSRNOG00000004245', 'ENSOCUG00000010376', 'ENSMODG00000001305', 'ENSMMUG00000015948']
['ENSG00000143183', 'ENSMUSG00000052428', 'ENSGALG00000033460', 'ENSRNOG00000003928', 'ENSOCUG00000038278', 'ENSMODG00000001335', 'ENSMMUG00000005585']
['ENSG00000143179', 'ENSMUSG00000026558', 'ENSGALG00000003510', 'ENSRNOG00000003917', 'ENSOCUG00000008446', 'ENSMODG00000001349', 'ENSMMUG00000053859']
